sku,descricao,gross_price,price,pagamento,date,day,hour
34214,In Woman Red La Rive Perfume Feminino - Eau de Parfum,"69,90","58,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
33343,Miss Dior Roller Pearl Dior Perfume Feminino - Eau de Toilette,,"169,00","5x de R$ 33,80",2020-05-06 21:15:09.934161,05/06/20,21:15:09
31152,Her Secret Desire Antonio Banderas Perfume Feminino - Eau de Toilette,"99,00","79,89","2x de R$ 39,94",2020-05-06 21:15:09.934161,05/06/20,21:15:09
30300,Black Opium Glow Yves Saint Laurent Perfume Feminino - Eau de Toilette,,"398,90","10x de R$ 39,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
24612,Cash Woman La Rive Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
24611,In Love La Rive Perfume Feminino - Eau de Parfum,"69,90","59,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
22019,Cedro do Marrocos Phebo Deo Colônia Feminino,,"49,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
22019,Cedro do Marrocos Phebo Deo Colônia Feminino,,"49,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
21440,Yes I Am Cacharel - Perfume Feminino - Eau de Parfum,,"258,80","8x de R$ 32,35",2020-05-06 21:15:09.934161,05/06/20,21:15:09
20987,White Tea Elizabeth Arden - Perfume Feminino - Eau de Toilette,"119,00","101,15","3x de R$ 33,71",2020-05-06 21:15:09.934161,05/06/20,21:15:09
20122,Queen Of Seduction Absolute Diva Antonio Banderas Perfume Feminino - EDT,"149,00","89,80","2x de R$ 44,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
19885,Gold Royale I-Scents Perfume Feminino - Eau de Parfum,"42,90","38,61",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
19017,La Petite Fleur Romantique Paris Elysees Perfume Feminino - Eau de Toilette,"74,00","55,50",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
18904,Moschino Pink Fresh Couture - Perfume Feminino - Eau de Toilette,"373,00","199,00","6x de R$ 33,16",2020-05-06 21:15:09.934161,05/06/20,21:15:09
18513,Hello Beauty La Rive Perfume Feminino - Eau de Parfum,"69,90","54,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
17723,Black Opium Yves Saint Laurent - Perfume Feminino Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
